"Código","Nombre","Tipo de accesorio","Subtipo","Unidad de medida","Valor 1","Valor 2","Valor 3","Valor 4","Valor 5","Peso","Norma"
"A0000226","BRIDA SERIE 300 (60,30x3,91) SW RF ASTM A 105 B16.5 PESO 2,87 2""","BRIDA","SERIE 300","un","60.3","3.91","","","SW RF","2.87","ASTM A 105 B16.5"
"A0000225","BRIDA SERIE 300 (33,40x3,38) SW RF ASTM A 105 B16.5 PESO 1,44 1""","BRIDA","SERIE 300","un","33.4","3.38","","","SW RF","1.44","ASTM A 105 B16.5"
"A0000224","BRIDA SERIE 300 (26,70x2,87) SW RF ASTM A 105 B16.5 PESO 1,19 3/4""","BRIDA","SERIE 300","un","26.7","2.87","","","SW RF","1.19","ASTM A 105 B16.5"
"A0000223","BRIDA SERIE 300 (21,30x2,77) SW RF ASTM A 105 B16.5 PESO 0,62 1/2""","BRIDA","SERIE 300","un","21.3","2.77","","","SW RF","0.62","ASTM A 105 B16.5"
"A0000222","BRIDA SERIE 300 (273,00) SO RF ASTM A 105 B16.5 PESO 34,16 10""","BRIDA","SERIE 300","un","273","","","","SO RF","34.16","ASTM A 105 B16.5"
"A0000221","BRIDA SERIE 300 (114,30) SO RF ASTM A 105 B16.5 PESO 10,13 4""","BRIDA","SERIE 300","un","114.3","","","","SO RF","10.13","ASTM A 105 B16.5"
"A0000220","BRIDA SERIE 300 (33,40) SO RF ASTM A 105 B16.5 PESO 1,39 1""","BRIDA","SERIE 300","un","33.4","","","","SO RF","1.39","ASTM A 105 B16.5"
"A0000219","BRIDA SERIE 150 (323,80x10,31) WN RF ASTM A 105 B16.5 PESO 38,98 12"" SCH 40","BRIDA","SERIE 150","un","323.8","10.31","","","WN RF","38.98","ASTM A 105 B16.5"
"A0000218","BRIDA SERIE 150 (168,30x10,97) SW RF ASTM A 105 B16.5 PESO 7,99 6"" SCH 80","BRIDA","SERIE 150","un","168.3","10.97","","","SW RF","7.99","ASTM A 105 B16.5"
"A0000217","BRIDA SERIE 150 (168,30x7,11) SW RF ASTM A 105 B16.5 PESO 7,99 6"" SCH 40","BRIDA","SERIE 150","un","168.3","7.11","","","SW RF","7.99","ASTM A 105 B16.5"
"A0000216","BRIDA SERIE 150 (114,30x8,56) SW RF ASTM A 105 B16.5 PESO 5,99 4"" SCH 80","BRIDA","SERIE 150","un","114.3","8.56","","","SW RF","5.99","ASTM A 105 B16.5"
"A0000215","BRIDA SERIE 150 (114,30x6,02) SW RF ASTM A 105 B16.5 PESO 5,99 4"" SCH 40","BRIDA","SERIE 150","un","114.3","6.02","","","SW RF","5.99","ASTM A 105 B16.5"
"A0000214","BRIDA SERIE 150 (88,90x7,62) SW  RF ASTM A 105 B16.5 PESO 4,02 3"" SCH 80","BRIDA","SERIE 150","un","88.9","7.62","","","SW  RF","4.02","ASTM A 105 B16.5"
"A0000213","BRIDA SERIE 150 (88,90x5,49) SW RF ASTM A 105 B16.5 PESO 4,02 3"" SCH 40","BRIDA","SERIE 150","un","88.9","5.49","","","SW RF","4.02","ASTM A 105 B16.5"
"A0000212","BRIDA SERIE 150 (609,60) SO RF ASTM A 105 B16.5 PESO 90,50 24""","BRIDA","SERIE 150","un","609.6","","","","SO RF","90.5","ASTM A 105 B16.5"
"A0000211","BRIDA SERIE 150 (406,40) BL RF ASTM A 105 B16.5 PESO 44,80 16""","BRIDA","SERIE 150","un","406.4","","","","BL RF","44.8","ASTM A 105 B16.5"
"A0000210","BRIDA SERIE 150 (323,80) BL RF ASTM A 105 B16.5 PESO 26,20 12""","BRIDA","SERIE 150","un","323.8","","","","BL RF","26.2","ASTM A 105 B16.5"
