"Código","Nombre","Díametro Exterior","Espesor Nominal","Largo Mínimo","Largo Máximo","Tipo Costura","Tipo de Acero","Tratamiento Térmico","Norma","Forma","Rubro","Materia prima"
"C0001474","26,00 x 4,50 x SC SAE 1020 SAE 1020 (8500.00/9500.00)","26","4.5","8500","9500","SC","SAE 1020","","SAE 1020","REDONDO","ESTRUCTURAL",""
"C0001475","40,00 x 4,00 x SC SAE 1020 SAE 1020 (8500.00/9500.00)","40","4","8500","9500","SC","SAE 1020","","SAE 1020","REDONDO","ESTRUCTURAL",""
"C0001476","37,00 x 5,00 x SC SAE 1020 SAE 1020 (8500.00/9500.00)","37","5","8500","9500","SC","SAE 1020","","SAE 1020","REDONDO","ESTRUCTURAL",""
"C0001477","18,00 x 1,50 x SC SAE 1008/1010   ASTM A 179 (3000.00/3003.00)","18","1.5","3000","3003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001478","18,00 x 1,60 x SC SAE 1008/1010   ASTM A 179 (3000.00/3003.00)","18","1.6","3000","3003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001479","12,70 x 1,60 x SC SAE 1008/1010   ASTM A 179 (3000.00/3003.00)","12.7","1.6","3000","3003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001480","28,00 x 22,40 x CCB SAE 1010 SAE 1010 (3500.00/5000.00)","28","22.4","3500","5000","CCB","SAE 1010","","SAE 1010","REDONDO","PARA TREFILAR",""
"C0001481","28,00 x 2,80 x CCB SAE 1010 ASTM A 519 (3500.00/5000.00)","28","2.8","3500","5000","CCB","SAE 1010","","ASTM A 519","REDONDO","PARA TREFILAR",""
"C0001482","25,40 x 3,75 x SC SAE 1008/1010   ASTM A 192 (10000.00/10000.00)","25.4","3.75","10000","10000","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001483","25,40 x 3,75 x SC SAE 1008/1010   ASTM A 192 (10000.00/10009.00)","25.4","3.75","10000","10009","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001484","48,00 x 4,50 x SC SAE 1010 ASTM A 192 (11000.00/12000.00)","48","4.5","11000","12000","SC","SAE 1010","","ASTM A 192","REDONDO","PARA TREFILAR",""
"C0001485","12,70 x 1,25 x SC SAE 1008/1010   ASTM A 179 (3000.00/3003.00)","12.7","1.25","3000","3003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001486","38,10 x 4,80 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","38.1","4.8","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001487","12,70 x 1,50 x SC SAE 1008/1010   ASTM A 179 (6000.00/6003.00)","12.7","1.5","6000","6003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001488","38,10 x 6,00 x SC SAE 1008/1010   ASTM A 192 (5800.00/5803.00)","38.1","6","5800","5803","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001489","38,10 x 5,60 x SC SAE 1008/1010   ASTM A 179 (6000.00/6003.00)","38.1","5.6","6000","6003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001490","38,10 x 5,60 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","38.1","5.6","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001491","76,20 x 5,00 x SC SAE 1010 SAE 1010 (7000.00/8000.00)","76.2","5","7000","8000","SC","SAE 1010","","SAE 1010","REDONDO","CILINDRO HIDRAULICO",""
"C0001492","88,90 x 6,35 x SC SAE 1010 SAE 1010 (7000.00/8000.00)","88.9","6.35","7000","8000","SC","SAE 1010","","SAE 1010","REDONDO","CILINDRO HIDRAULICO",""
"C0001493","44,50 x 3,81 x SC SAE 1010 ASTM A 192 (6000.00/7000.00)","44.5","3.81","6000","7000","SC","SAE 1010","","ASTM A 192","REDONDO","PARA TREFILAR",""
"C0001494","22,20 x 3,05 x CCB SAE 1008/1010   ASTM A 179 (3000.00/4500.00)","22.2","3.05","3000","4500","CCB","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001495","28,60 x 3,80 x CCB SAE 1008/1010   ASTM A 179 (4000.00/8000.00)","28.6","3.8","4000","8000","CCB","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001496","25,40 x 3,40 x CCB SAE 1008/1010   ASTM A 179 (4000.00/7000.00)","25.4","3.4","4000","7000","CCB","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001497","28,00 x 2,80 x CCB SAE 1010 SAE 1010 (3500.00/5000.00)","28","2.8","3500","5000","CCB","SAE 1010","","SAE 1010","REDONDO","PARA TREFILAR",""
"C0001498","26,70 x 3,75 x CCB SAE 1010 ASTM A 179 (7000.00/8000.00)","26.7","3.75","7000","8000","CCB","SAE 1010","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001499","31,75 x 3,82 x CCB SAE 1008/1010   ASTM A 179 (4000.00/7000.00)","31.75","3.82","4000","7000","CCB","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001500","38,10 x 4,80 x SC SAE 1008/1010   ASTM A 179 (3000.00/4500.00)","38.1","4.8","3000","4500","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001501","33,40 x 4,55 x CC RI SAE 1004/1008 ASTM A 179 (6000.00/6400.00)","33.4","4.55","6000","6400","CC RI","SAE 1004/1008","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001502","42,00 x 4,15 x CCB SAE 1008/1010   ASTM A 179 (4000.00/7000.00)","42","4.15","4000","7000","CCB","SAE 1008/1010  ","","ASTM A 179","REDONDO","CONDUCCION",""
"C0001503","38,10 x 5,10 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","38.1","5.1","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001504","79,10 x 3,71 x CC SAE 1008/1010   ASTM A 179 (3000.00/7000.00)","79.1","3.71","3000","7000","CC","SAE 1008/1010  ","","ASTM A 179","REDONDO","GNC",""
"C0001505","25,40 x 3,75 x SC SAE 1008/1010   ASTM A 179 (10000.00/10009.00)","25.4","3.75","10000","10009","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001506","43,00 x 3,20 x SC SAE 1008/1010   ASTM A 179 (3500.00/3503.00)","43","3.2","3500","3503","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001507","63,50 x 3,50 x SC LC SAE 1010 ASTM A 192 (4000/4050)","63.5","3.5","4000","4050","SC","SAE 1010","LC","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001508","63,50 x 3,50 x SC LC SAE 1010 ASTM A 192 (4620/4670)","63.5","3.5","4620","4670","SC","SAE 1010","LC","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001509","38,10 x 7,14 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","38.1","7.14","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001510","47,00 x 4,50 x SC SAE 1020 SAE 1020 (6000.00/7000.00)","47","4.5","6000","7000","SC","SAE 1020","","SAE 1020","REDONDO","CILINDRO HIDRAULICO",""
"C0001511","47,00 x 4,50 x SC SAE 1020 SAE 1020 (9000.00/10000.00)","47","4.5","9000","10000","SC","SAE 1020","","SAE 1020","REDONDO","CILINDRO HIDRAULICO",""
"C0001512","49,40 x 3,20 x SC SAE 1010 ASTM A 192 (3500.00/3503.00)","49.4","3.2","3500","3503","SC","SAE 1010","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001513","49,40 x 3,20 x SC SAE 1008/1010   ASTM A 192 (3500.00/3503.00)","49.4","3.2","3500","3503","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001514","15,87 x 1,65 x SC SAE 1008/1010   ASTM A 179 (5000.00/5003.00)","15.87","1.65","5000","5003","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001515","33,60 x 5,05 x CCB SAE 1004/1008 DIN 2393  (4000.00/7000.00)","33.6","5.05","4000","7000","CCB","SAE 1004/1008","","DIN 2393 ","REDONDO","PARA TREFILAR",""
"C0001516","44,60 x 4,50 x CCB SAE 1008/1010   DIN 2393 St-34-2 BKW (5000.00/9000.00)","44.6","4.5","5000","9000","CCB","SAE 1008/1010  ","","DIN 2393 St-34-2 BKW","REDONDO","PARA TREFILAR",""
"C0001517","45,00 x 4,25 x CCB SAE 1008/1010   DIN 2391 St-35 BKW (4000.00/6000.00)","45","4.25","4000","6000","CCB","SAE 1008/1010  ","","DIN 2391 St-35 BKW","REDONDO","PARA TREFILAR",""
"C0001518","40,00 x 4,00 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","40","4","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001519","15,87 x 1,65 x SC SAE 1008/1010   ASTM A 179 (9000.00/10000.00)","15.87","1.65","9000","10000","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA TREFILAR",""
"C0001520","44,00 x 3,60 x SC SAE 1008/1010   ASTM A 192 (8000.00/10000.00)","44","3.6","8000","10000","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001521","83,50 x 3,98 x SC SAE 1010 ASTM A 192 (10000.00/11000.00)","83.5","3.98","10000","11000","SC","SAE 1010","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001522","25,40 x 2,77 x SC SAE 1008/1010   ASTM A 179 (2430.00/2433.00)","25.4","2.77","2430","2433","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001523","25,40 x 2,77 x SC SAE 1008/1010   ASTM A 179 (2540.00/2543.00)","25.4","2.77","2540","2543","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001524","38,10 x 6,00 x SC SAE 1008/1010   ASTM A 192 (6100.00/6103.00)","38.1","6","6100","6103","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001525","38,10 x 6,00 x SC SAE 1008/1010   ASTM A 192 (6000.00/6003.00)","38.1","6","6000","6003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001526","38,10 x 6,00 x SC SAE 1008/1010   ASTM A 192 (5000.00/5003.00)","38.1","6","5000","5003","SC","SAE 1008/1010  ","","ASTM A 192","REDONDO","PARA CALDERAS",""
"C0001527","22,50 x 3,25 x CCB SAE 1008/1010   SAE 1010 (3000.00/4500.00)","22.5","3.25","3000","4500","CCB","SAE 1008/1010  ","","SAE 1010","REDONDO","CONDUCCION",""
"C0001528","34,00 x 1,60 x CCB SAE 1008/1010   SAE 1010 (3000.00/4500.00)","34","1.6","3000","4500","CCB","SAE 1008/1010  ","","SAE 1010","REDONDO","CONDUCCION",""
"C0001529","25,40 x 2,77 x SC SAE 1008/1010   ASTM A 179 (16000.00/16009.00)","25.4","2.77","16000","16009","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001530","25,40 x 2,77 x SC SAE 1008/1010   ASTM A 179 (4877.00/4880.00)","25.4","2.77","4877","4880","SC","SAE 1008/1010  ","","ASTM A 179","REDONDO","PARA CALDERAS",""
"C0001531","13,70 x 2,24 x SC SAE 1008/1010   SAE 1010 (7900.00/8200.00)","13.7","2.24","7900","8200","SC","SAE 1008/1010  ","","SAE 1010","REDONDO","PARA TREFILAR",""
"C0001532","63,50 x 7,00 x SC GºB ASTM A 106 (6000/6003)","63.5","7","6000","6003","SC","GºB","","ASTM A 106","REDONDO","PARA CALDERAS",""
"C0001533","49,20 x 3,75 x SC SAE 1020 SAE 1020 (7000.00/9000.00)","49.2","3.75","7000","9000","SC","SAE 1020","","SAE 1020","TRILOBULAR","PARA CAMISAS",""
"C0001534","41,00 x 3,90 x SC SAE 1020 SAE 1020 (7000.00/8000.00)","41","3.9","7000","8000","SC","SAE 1020","","SAE 1020","TRILOBULAR","PARA CAMISAS",""
"C0001535","47,70 x 3,00 x SC SAE 1020 SAE 1020 (7000.00/8000.00)","47.7","3","7000","8000","SC","SAE 1020","","SAE 1020","TRILOBULAR","PARA CAMISAS",""
"C0001536","49,20 x 3,75 x SC SAE 1020 SAE 1020 (7000.00/9000.00)","49.2","3.75","7000","9000","SC","SAE 1020","","SAE 1020","TRILOBULAR","PARA CAMISAS",""
"C0001537","41,00 x 5,40 x SC SAE 1020 SAE 1020 (7000.00/9000.00)","41","5.4","7000","9000","SC","SAE 1020","","SAE 1020","TRILOBULAR","PARA CAMISAS",""
"C0001538","12,70 x 1,50 x SC SAE 1008/1010   SAE 1010 (4000.00/5000.00)","12.7","1.5","4000","5000","SC","SAE 1008/1010  ","","SAE 1010","REDONDO","CIRCUITO HIDRAULICO",""
"C0001539","19,05 x 1,50 x SC SAE 1008/1010   SAE 1010 (5000.00/9000.00)","19.05","1.5","5000","9000","SC","SAE 1008/1010  ","","SAE 1010","REDONDO","CIRCUITO HIDRAULICO",""
"C0001540","25,40 x 1,50 x SC SAE 1008/1010   SAE 1010 (5700.00/7000.00)","25.4","1.5","5700","7000","SC","SAE 1008/1010  ","","SAE 1010","REDONDO","CIRCUITO HIDRAULICO",""
