"Lista de precios","Producto","UOM","Proveedor","Precio"
"COMPRA","RED EXC (114,30x88,90x6,02x5,49) ASTM A 234 GB WPB PESO 1,45 4x3"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","6.13"
"VENTA","RED EXC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,30 4x2"" SCH 40","UNIDAD","","13.88"
"REVENDEDOR","RED EXC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,30 4x2"" SCH 40","UNIDAD","","13.88"
"COMPRA","RED EXC (114,30x60,30x6,02x3,91) ASTM A 234 GB WPB PESO 1,30 4x2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","7.20"
"VENTA","RED CONC (88,90x60,30x7,62x5,54) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 80","UNIDAD","","8.93"
"REVENDEDOR","RED CONC (88,90x60,30x7,62x5,54) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 80","UNIDAD","","8.93"
"COMPRA","RED CONC (88,90x60,30x7,62x5,54) ASTM A 234 GB WPB PESO 0,85 3x2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,90 3x2"" SCH 40","UNIDAD","","8.68"
"REVENDEDOR","RED CONC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,90 3x2"" SCH 40","UNIDAD","","8.68"
"COMPRA","RED CONC (88,90x60,30x5,49x3,91) ASTM A 234 GB WPB PESO 0,90 3x2"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (88,90x48,30x5,49x3,68) ASTM A 234 GB WPB PESO 0,98 3x1 1/2"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (60,30x48,30x5,54x5,08) ASTM A 234 GB WPB PESO 0,54 2x1 1/2"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (60,30x48,30x3,91x3,68) ASTM A 234 GB WPB PESO 0,41 2x1 1/2"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 0,33 2x1""","UNIDAD","","5.38"
"REVENDEDOR","RED CONC (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 0,33 2x1""","UNIDAD","","5.38"
"COMPRA","RED CONC (60,30x33,40x3,91x3,38) ASTM A 234 GB WPB PESO 0,33 2x1""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (323,80x219,10x6,35x6,35) ASTM A 234 GB WPB PESO 12,70 12x8"" SCH 20","UNIDAD","","109.42"
"REVENDEDOR","RED CONC (323,80x219,10x6,35x6,35) ASTM A 234 GB WPB PESO 12,70 12x8"" SCH 20","UNIDAD","","109.42"
"COMPRA","RED CONC (323,80x219,10x6,35x6,35) ASTM A 234 GB WPB PESO 12,70 12x8"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","42.35"
"VENTA","RED CONC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","","81.30"
"REVENDEDOR","RED CONC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","","81.30"
"COMPRA","RED CONC (273,00x219,10x9,27x8,18) ASTM A 234 GB WPB PESO 9,60 10x8"" SCH 40","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (273,00x114,30x9,27x6,02) ASTM A 234 GB WPB PESO 10,50 10x4"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","RED CONC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,77 8x6"" SCH 40","UNIDAD","","41.64"
"REVENDEDOR","RED CONC (219,10x168,30x8,18x7,11) ASTM A 234 GB WPB PESO 5,77 8x6"" SCH 40","UNIDAD","","41.64"
"COMPRA","RED CONC (219,10x114,30x8,18x6,02) ASTM A 234 GB WPB PESO 6,31 8x4"" SCH 40/STD","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"COMPRA","RED CONC (219,10x114,30x12,70x8,56) ASTM A 234 GB WPB PESO 9,26 8x4"" SCH 80","UNIDAD","FITTINGS HAN'S PIPE","0.00"
